study,assay,pathogen,host_class,host_species,host_species_common_name,susceptibility,comparison,tissue,time_point,pathogen_strain,analysis_level,total_tested,de_total_tested,total_annotated,de_total_annotated,notes
Bracamonte et al. 2019,RNA-seq,A. crassus,Actinopterygii,Anguilla japonica,Japanese eel,non-susceptible,Anguilla japonica vs. Anguilla anguilla,kidney,03 days,,contig,241193,64,62358,28,total counts derived from Table 1; DE counts derived from Table 2; using RefSeq annotation numbers from main text Table 1 & 2
Bracamonte et al. 2019,RNA-seq,A. crassus,Actinopterygii,Anguilla japonica,Japanese eel,non-susceptible,Anguilla japonica vs. Anguilla anguilla,kidney,23 days,,contig,241193,23,62358,3,total counts derived from Table 1; DE counts derived from Table 2; using RefSeq annotation numbers from main text Table 1 & 2
Bracamonte et al. 2019,RNA-seq,A. crassus,Actinopterygii,Anguilla anguilla,European eel,susceptible,Anguilla japonica vs. Anguilla anguilla,kidney,03 days,,contig,503222,342,136334,188,"total counts derived from Table 1; DE counts derived from Table 2; using RefSeq annotation numbers from main text Table 1 & 2; note that the DE count reported in Table 2 is actually incorrect (conflicts with what's given in the paper text and supplementary information, correct count was confirmed with paper first author)"
Bracamonte et al. 2019,RNA-seq,A. crassus,Actinopterygii,Anguilla anguilla,European eel,susceptible,Anguilla japonica vs. Anguilla anguilla,kidney,23 days,,contig,503222,53,136334,27,total counts derived from Table 1; DE counts derived from Table 2; using RefSeq annotation numbers from main text Table 1 & 2
Davy et al. 2017,RNA-seq,P. destructans,Mammalia,Myotis myotis,greater mouse-eared bat,non-susceptible,Myotis myotis vs. Myotis lucifugus,skin,77 days,,contig,757963,132,,,"total counts dervied from total Trinity genes (S1 Appendix); DE counts derived from edgeR results (Table S4); total annotated information unavailable (Table S5 only gives annotation information for DE genes, this lack of information confirmed by paper authors)"
Davy et al. 2017,RNA-seq,P. destructans,Mammalia,Myotis lucifugus,little brown bat,susceptible,Myotis myotis vs. Myotis lucifugus,skin,77 days,,gene,26840,226,26840,226,total counts derived from gene model from https://useast.ensembl.org/Myotis_lucifugus/Info/Annotation; DE counts derived from edgeR results (supplemental info); all genes analyzed for this species were annotated
Ellison et al. 2015,RNA-seq,B. dendrobatidis,Amphibia,Atelopus zeteki,Panamanian golden frog,susceptible,Craugastor fitzingeri vs. Atelopus zeteki,skin,at clinical symptoms or experimental endpoint,,gene,8732,3849,8732,3849,"total counts and DE counts derived from paper text Table 1; gene expression results are only reported for annotated, orthologous genes"
Ellison et al. 2015,RNA-seq,B. dendrobatidis,Amphibia,Craugastor fitzingeri,Fitzinger's robber frog,non-susceptible,Craugastor fitzingeri vs. Atelopus zeteki,skin,at clinical symptoms or experimental endpoint,,gene,8732,1413,8732,1413,"total counts and DE counts derived from paper text Table 1; gene expression results are only reported for annotated, orthologous genes"
Ellison et al. 2015,RNA-seq,B. dendrobatidis,Amphibia,Atelopus zeteki,Panamanian golden frog,susceptible,Craugastor fitzingeri vs. Atelopus zeteki,spleen,at clinical symptoms or experimental endpoint,,gene,8732,2291,8732,2291,"total counts and DE counts derived from paper text Table 1; gene expression results are only reported for annotated, orthologous genes"
Ellison et al. 2015,RNA-seq,B. dendrobatidis,Amphibia,Craugastor fitzingeri,Fitzinger's robber frog,non-susceptible,Craugastor fitzingeri vs. Atelopus zeteki,spleen,at clinical symptoms or experimental endpoint,,gene,8732,2660,8732,2660,"total counts and DE counts derived from paper text Table 1; gene expression results are only reported for annotated, orthologous genes"
Ellison et al. 2015,RNA-seq,B. dendrobatidis,Amphibia,Atelopus zeteki,Panamanian golden frog,susceptible,Agalychnis callidryas vs. Atelopus zeteki,skin,at clinical symptoms or experimental endpoint,,gene,8732,3849,8732,3849,"total counts and DE counts derived from paper text Table 1; gene expression results are only reported for annotated, orthologous genes"
Ellison et al. 2015,RNA-seq,B. dendrobatidis,Amphibia,Agalychnis callidryas,red-eyed treefrog,non-susceptible,Agalychnis callidryas vs. Atelopus zeteki,skin,at clinical symptoms or experimental endpoint,,gene,8732,6,8732,6,"total counts and DE counts derived from paper text Table 1; gene expression results are only reported for annotated, orthologous genes"
Ellison et al. 2015,RNA-seq,B. dendrobatidis,Amphibia,Atelopus zeteki,Panamanian golden frog,susceptible,Agalychnis callidryas vs. Atelopus zeteki,spleen,at clinical symptoms or experimental endpoint,,gene,8732,2291,8732,2291,"total counts and DE counts derived from paper text Table 1; gene expression results are only reported for annotated, orthologous genes"
Ellison et al. 2015,RNA-seq,B. dendrobatidis,Amphibia,Agalychnis callidryas,red-eyed treefrog,non-susceptible,Agalychnis callidryas vs. Atelopus zeteki,spleen,at clinical symptoms or experimental endpoint,,gene,8732,182,8732,182,"total counts and DE counts derived from paper text Table 1; gene expression results are only reported for annotated, orthologous genes"
Ellison et al. 2015,RNA-seq,B. dendrobatidis,Amphibia,Atelopus glyphus,Pirri harlequin frog,susceptible,Craugastor fitzingeri vs. Atelopus glyphus,skin,at clinical symptoms or experimental endpoint,,gene,8732,901,8732,901,"total counts and DE counts derived from paper text Table 1; gene expression results are only reported for annotated, orthologous genes"
Ellison et al. 2015,RNA-seq,B. dendrobatidis,Amphibia,Craugastor fitzingeri,Fitzinger's robber frog,non-susceptible,Craugastor fitzingeri vs. Atelopus glyphus,skin,at clinical symptoms or experimental endpoint,,gene,8732,1413,8732,1413,"total counts and DE counts derived from paper text Table 1; gene expression results are only reported for annotated, orthologous genes"
